rid,uid,role,feature,benefit,novelty_avg
315,61,housewife,"my fridge to be programmable so that I can insert a list of items I want to keep on hand and when the item gets low, i can push a button to have it added to a shopping list that interacts with my laptop (like via an application) and generates a list fo rme",I can just print out the list (or even better have it on my phone) and take it to the store with me and not forget to pick up things (like milk),Health,4.0000
316,54,home occupant,a central control unit,I can easily change settings of smart home features in my house. ,Other,2.7500
317,56,wife,have the lights dim for a romantic evening with my husband,I do not have to move and spoil the moment.,Entertainment,2.0000
318,56,parent,something to warn me when the stove isn't working right,I can cook the food properly to keep my family from being ill.,Health,3.5000
319,59,home occupant,security footage of visits by humans only,I can save time when reviewing the footage,Safety,3.6667
320,61,home occupant,"my smart home to recognize a durress phrase,","when I say it, the police will automatically alerted to the presence of an emergency/intruder etc. and respond. (kinda like a silent alarm in the bank0",Safety,3.6667
321,54,home occupant,to be able to lock my house through an app,"if I forget to lock any doors, I can do so from home. ",Safety,1.5000
323,56,parent,a light to kick on when someone approaches my door,I can make sure whether to answer the door or not.,Safety,2.3333
324,56,mother,motion sensors in my home,I can tell when something is moving about if it is suppose to be there.,Safety,3.6667
325,61,mother,my smart home to restrict tv channels when my child turns on the tv (perhaps via a profile menu or something),my child can only access child appropriate channels.,Entertainment,2.0000
326,59,bill payer,measurements of what each appliance draws in voltage,I can conserve energy,Energy,3.3333
327,54,home occupant,smoke detectors that will alert me if I am away from home,I can know if a fire happens right away.,Safety,1.5000
328,56,pet owner,something that alerts me when my dog is in the trash,stop her from grabbing something she should't.,Safety,4.2500
329,62,home occupant,the house to automatically determine the right temperature to set the thermostat,I will save on my home heating bills,Energy,1.7500
330,61,mother,my smart home to turn off internet access for my child's playstation or computer when a certain time period (to be specified by adult) has been reached,they will not spend the whole day playing on the internet/video games.,Entertainment,3.6667
331,60,occupant,My house to automatically lock all windows and doors once I close the front door and step on the front steps outsidde,My home will be secure from burgulars,Safety,3.3333
332,62,home occupant,the house to automatically shut off lights in rooms without occupants,I will save on electricity bills,Energy,2.5000
333,54,home occupant,a floor heating controller,I can have comfortable floors during winter time.,Energy,4.0000
334,59,bill payer,lights to turn off if no one has entered a room during a given period,I can save electricity,Energy,2.0000
335,61,home occupant,my porch lights to be programmable to come on when it gets dark,I can see when I get home.,Energy,1.5000
336,65,environment conscious consumer,my smart home to turn off lights in rooms when no motion is detected after 15 minutes,I can save on energy costs and lower energy usage,Energy,2.6667
337,61,home occupant,my smart home to have programmable lights,so that when i'm away they will turn on at specific times to discourage theft.,Safety,2.3333
338,59,cook,a smoke alarm that I can easily temporarily disable for an hour,it doesn't go off when I'm cooking something smoky,Safety,2.0000
339,54,spouse,a voice activated recipe search program in my kitchen,I can easily find recipes for something I want to cook and it could list off ingredients for me while I am searching for them.,Other,4.0000
340,61,home occupant,"my smart home to allow me to track my fitness goals (like weight, exercise calories, food consumed) through an easy app (like while preparing a recipe I may be able to just push the ""i've eaten this button"" on the interface)",I am encouraged to be more active and eat better.,Health,2.6667
341,59,bather,a standard setting (like a car radio button) for a temperature I like the water,I don't experience water that's too hot or too cold each time,Health,4.0000
342,62,home occupant,the window blinds to automatically open and close depending on the time of day,I can maintain my privacy and save on electricity,Safety,4.0000
343,65,home owner,my smart home to manage temperature settings when people are home and away,we don't unnecessarily use energy when no one is around.,Energy,4.0000
344,60,parent,an alarm to go off whenever someone who is under a certain height goes in the kitchen,my child wont be able to get into dangerous things in the kitchen. Such as; getting burned on the stove or getting into dangerous chemicals.,Safety,4.5000
345,54,home occupant,door and window sensors,I can tell if anyone suspicious has been around my house and can avoid robbery.,Safety,2.0000
346,62,home occupant,video cameras to start recording anytime someone comes in range of the main door,I will know whether or not I should open the door to visitors,Safety,4.3333
347,61,pet owner,my smart home to alert me when my cat enters or leaves the house,"I have a better idea where the pet is (and don't spend hours searchign inside, when the cat is actually outside)",Entertainment,3.7500
